property,input_value
BalabanJ,0.8121799951898078
BertzCT,3965.836118197508
Chi0,50.88331839513214
Chi0n,41.62683624815394
Chi0v,41.62683624815394
Chi1,36.696070235769874
Chi1n,25.40867123160726
Chi1v,25.40867123160726
Chi2n,19.786051313612457
Chi2v,19.786051313612457
Chi3n,14.08973125375871
Chi3v,14.08973125375871
Chi4n,9.848460540156506
Chi4v,9.848460540156506
ExactMolWt,982.4318875880001
FpDensityMorgan1,0.49333333333333335
FpDensityMorgan2,1.0133333333333334
FpDensityMorgan3,1.6933333333333334
FractionCSP3,0.140625
HallKierAlpha,-8.869999999999996
HeavyAtomCount,75.0
HeavyAtomMolWt,928.7569999999995
Kappa1,47.15350893133643
Kappa2,20.20814961857664
Kappa3,9.997694057433215
LabuteASA,433.63212117988706
MaxAbsEStateIndex,9.719724325952747
MaxEStateIndex,9.719724325952747
MinAbsEStateIndex,0.18559150240612965
MinEStateIndex,-0.77010491751788
MolLogP,13.777999999999963
MolMR,303.0077000000003
MolWt,983.189
NHOHCount,5.0
NOCount,11.0
NumAliphaticCarbocycles,0.0
NumAliphaticHeterocycles,0.0
NumAliphaticRings,0.0
NumAromaticCarbocycles,8.0
NumAromaticHeterocycles,4.0
NumAromaticRings,12.0
NumHAcceptors,10.0
NumHDonors,5.0
NumHeteroatoms,11.0
NumRadicalElectrons,0.0
NumRotatableBonds,16.0
NumSaturatedCarbocycles,0.0
NumSaturatedHeterocycles,0.0
NumSaturatedRings,0.0
NumValenceElectrons,368.0
RingCount,12.0
TPSA,157.9
QED,0.059030806432444585
