Smiles,PDSC
CCCCN(CCCC)c1nc(CC)c(CC)c(CC)c1-c1cc(C)c(C)cc1NC,41.094803
CCc1cc2c(NCCCN(CC)CC)ccc(N(CCC)CCC)c2cc1CC,60.843304
CCCCCCc1c(CCCC)n(CCCCCC)c2ccc(NCCC)cc12,5.794227
CCCCN(CCCC)c1nc(CC)c(CC)c(NCc2ccc(C)cc2)c1C,32.566486
CCCCCCn1cc(CCCC)c(-c2ccc(CCCCCC)cc2)c1NCCC,50.118393
CCCCCCN(CCCCCC)c1ccc(-c2ccc(NCCC)c(CC)c2)cc1,30.945698
CCCCCCN(CCCC)c1nc(C)cc(Nc2c(C)cc(CC)cc2C)c1C,35.888081
CCNc1nc(C)cc(-c2ccc(CN(CCC)CCCC)c(CC)c2)c1C,23.375982
CCCCCCCCNc1c(CC)cc(-c2ccc(N(CCC)CCCC)cc2)cc1C,34.759583
CCCCCCCCCNc1c(CC)c(CC)n(-c2ccc(C)cc2C)c1C,54.883739
CCCCN(CCCC)c1cc(NC(CC)CC)cc(-c2ccc(CC)cc2)n1,30.750071
CCCN(CCC)c1cc(-c2ccc(NCCN(CC)CC)cc2)cc(C)c1C,56.123318
CCCCN(CCCC)c1ccc(Nc2ccc(N(CC)CC)cc2C)c(C)c1,57.95723
CCc1ccccc1NC(c1ccc(CC)cc1)c1c(C)cc(C)cc1C,42.009823
CCCCCC(c1ccc(O)c(OCCCCCCC)c1)c1ccc(O)c(CCCC)c1,27.531668
CCCCCCc1ccc(-c2ccc(NCCCCCC)c(OCCCCC)c2)cc1C,45.694912
CCCCCCCc1c(C)cc(O)c(OCCCCC)c1CCCCCNCCCC,35.939129
CCCCCCCCCCCCNc1nc(C)c(-c2ccc(C)cc2C)c(C)c1C,27.48307
CCCCCCN(CCCCC)CCCNc1nc(-c2ccc(C)cc2)cc(C)c1C,30.556385
CCCCCCCCCCCNc1nc(-c2cc(C)cc(C)c2)cc(C)c1C(C)C,20.615063
CCCCCCN(CCCCC)Cc1cc(NCc2ccc(C)cc2C)cc(C)c1,14.286183
CCCCCCCCCCNc1cc(-c2ccc(N(CC)CC)cc2)cc(C)c1C,40.23526
CCCCCCCCCCN(CC)c1cc(Nc2ccc(C)cc2C)cc(C)c1C,38.72987
CCCN(CCC)Cc1ccc(-c2cnc(NCCCCCCCCC)c(CC)c2)cc1,14.409049
CCCCCCCCCCc1nc(Nc2cc(C)cc(C)c2)cc(C)c1CCCCC,18.098692
