Smiles,C,PDSC
C1=CC=C(C=C1)NC2=CC=CC=C2,0.059689116399924955,1.6
C1=CC=C(C=C1)NC2=CC=CC=C2,0.12059637803250145,2.6
C1=CC=C(C=C1)NC2=CC=CC=C2,0.18275945949255373,5.0
C1=CC=C(C=C1)NC2=CC=CC=C2,0.2462176051496904,9.1
C1=CC=C(C=C1)NC2=CC=CC=C2,0.31101171176803,14.0
C1=CC=C(C=C1)NC2=CC=CC=C2,0.6565802803991745,28.0
C1=CC=C(C=C1)NC2=CC=CC=C2,0.8058030713989869,36.0
C1=CC=C(C=C1)NC2=CC=CC=C2,1.0428039747516302,43.0
CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,0.009076922625869841,10.93
CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,0.021264801277591682,20.68
CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,0.0304703429562028,31.4
CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,0.045937522121787984,53.79
CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,0.05216845085990775,60.39
C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,0.023952332750022152,3.985
C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,0.04839348861739169,7.09
C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,0.07333858584285131,11.285
C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,0.12480426011853647,34.61
C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,0.26347566025024366,85.93
C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,0.013721867147818754,10.86
C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,0.0321466635866489,20.68
C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,0.0460629681696138,31.4
C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,0.06944518551459541,53.79
C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,0.07886467490280775,60.39
CC1=C(C(=CC=C1)O)C,0.4308166603695633,6.855
CC1=CC(=C(C=C1)C)O,0.4308166603695633,6.81
CC1=C(C=C(C=C1)O)C,0.4308166603695633,5.5
CC1=CC(=CC(=C1)O)C,0.4308166603695633,5.03
CCC1=CC=C(C=C1)O,0.08268198532345154,1.93
CCC1=CC=C(C=C1)O,0.2531603055779908,2.845
CCC1=CC=C(C=C1)O,0.4308166603695633,3.98
CCC1=CC=C(C=C1)O,1.4445029200626536,7.315
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.02280457817413959,8.4
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.045839505622765446,12.7
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.09261451136028119,20.8
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.14035395020578695,22.4
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.18908796069390743,25.3
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.5042345618504198,26.8
CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,0.008836902269978974,31.79
CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,0.014757774812678455,40.87
CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,0.029664618057808206,50.48
CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,0.05993463648414311,57.63
CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,0.09082877900174266,60.29
CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,0.12236654948845886,70.72
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,0.007085582138662651,10.86
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,0.011833040858034613,15.77
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,0.023785607381301897,26.8
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,0.07282809682728521,42.34
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,0.12393553319730988,48.07
C1(=C(C=C(C=C1C(C)(C)C)CCC(=O)OC)C(C)(C)C)O[H],0.03454293360216026,9.55
C1(=C(C=C(C=C1C(C)(C)C)CCC(=O)OC)C(C)(C)C)O[H],0.06979082503293603,16.63
C1(=C(C=C(C=C1C(C)(C)C)CCC(=O)OC)C(C)(C)C)O[H],0.10576547711176904,21.45
C1(=C(C=C(C=C1C(C)(C)C)CCC(=O)OC)C(C)(C)C)O[H],0.17998686455862453,30.45
C1(=C(C=C(C=C1C(C)(C)C)CCC(=O)OC)C(C)(C)C)O[H],0.3799722696237629,49.95
C1(=C(C=C(C=C1C(C)(C)C)CCC(=O)OC)C(C)(C)C)O[H],0.6034853694024469,76.63
C1(=C(C=C(C=C1C(C)(C)C)CCC(=O)OC)C(C)(C)C)O[H],0.8549376066534665,99.37
