property,input_value
BalabanJ,0.9314958764955348
BertzCT,2825.725531336591
Chi0,49.69308395082017
Chi0n,42.093255874144496
Chi0v,42.093255874144496
Chi1,34.51608078169393
Chi1n,25.067907757654872
Chi1v,25.067907757654872
Chi2n,19.14572818065838
Chi2v,19.14572818065838
Chi3n,12.953062926246307
Chi3v,12.953062926246307
Chi4n,9.221696723922204
Chi4v,9.221696723922204
ExactMolWt,944.512823276
FpDensityMorgan1,0.39436619718309857
FpDensityMorgan2,0.7887323943661971
FpDensityMorgan3,1.1690140845070423
FractionCSP3,0.25
HallKierAlpha,-7.639999999999997
HeavyAtomCount,71.0
HeavyAtomMolWt,876.7129999999996
Kappa1,49.770925893666
Kappa2,23.7822884755511
Kappa3,12.774778981816112
LabuteASA,421.11890692561013
MaxAbsEStateIndex,12.009696285605092
MaxEStateIndex,12.009696285605092
MinAbsEStateIndex,0.004425583673745681
MinEStateIndex,0.004425583673745681
MolLogP,15.66279999999996
MolMR,292.07859999999994
MolWt,945.2569999999998
NHOHCount,2.0
NOCount,7.0
NumAliphaticCarbocycles,0.0
NumAliphaticHeterocycles,0.0
NumAliphaticRings,0.0
NumAromaticCarbocycles,8.0
NumAromaticHeterocycles,0.0
NumAromaticRings,8.0
NumHAcceptors,7.0
NumHDonors,2.0
NumHeteroatoms,7.0
NumRadicalElectrons,0.0
NumRotatableBonds,22.0
NumSaturatedCarbocycles,0.0
NumSaturatedHeterocycles,0.0
NumSaturatedRings,0.0
NumValenceElectrons,364.0
RingCount,8.0
TPSA,74.63000000000001
QED,0.07010022351906912
