property,input_value
BalabanJ,1.209729156495569
BertzCT,2729.2930594434088
Chi0,41.35873884767935
Chi0n,34.84394713806335
Chi0v,34.84394713806335
Chi1,29.67336639324558
Chi1n,21.420262693923725
Chi1v,21.420262693923725
Chi2n,14.872471165470944
Chi2v,14.872471165470944
Chi3n,10.641944853042693
Chi3v,10.641944853042693
Chi4n,7.72587156817801
Chi4v,7.72587156817801
ExactMolWt,785.43451338
FpDensityMorgan1,0.6333333333333333
FpDensityMorgan2,1.3333333333333333
FpDensityMorgan3,2.0833333333333335
FractionCSP3,0.16071428571428573
HallKierAlpha,-6.909999999999997
HeavyAtomCount,60.0
HeavyAtomMolWt,730.6359999999999
Kappa1,41.256602451160255
Kappa2,21.19676453529672
Kappa3,10.022811391692436
LabuteASA,354.89658199710215
MaxAbsEStateIndex,12.152504263849188
MaxEStateIndex,12.152504263849188
MinAbsEStateIndex,0.2132306796627419
MinEStateIndex,0.2132306796627419
MolLogP,15.529099999999962
MolMR,258.7374999999994
MolWt,786.0760000000001
NHOHCount,2.0
NOCount,4.0
NumAliphaticCarbocycles,0.0
NumAliphaticHeterocycles,0.0
NumAliphaticRings,0.0
NumAromaticCarbocycles,5.0
NumAromaticHeterocycles,2.0
NumAromaticRings,7.0
NumHAcceptors,3.0
NumHDonors,2.0
NumHeteroatoms,4.0
NumRadicalElectrons,0.0
NumRotatableBonds,18.0
NumSaturatedCarbocycles,0.0
NumSaturatedHeterocycles,0.0
NumSaturatedRings,0.0
NumValenceElectrons,300.0
RingCount,7.0
TPSA,53.84
QED,0.05171284326753871
